timestamp_iso,ticksPerSec,signalsLastMinute,ordersRequestedLastMinute,ordersFilledLastMinute,errorsLastMinute
2025-09-20T08:23:30.2501631Z,2,12,8,8,3
2025-09-20T08:23:32.2578530Z,2.033333333333333,12,8,9,3
2025-09-20T08:23:34.2366217Z,1.9666666666666666,12,8,8,4
2025-09-20T08:23:36.2414217Z,2.0166666666666666,12,8,8,3
2025-09-20T08:23:38.2449778Z,2,12,8,8,3
2025-09-20T08:23:40.2363244Z,2.0166666666666666,12,8,8,3
2025-09-20T08:23:42.2447670Z,2.0166666666666666,12,8,8,4
2025-09-20T08:23:44.2402198Z,1.9833333333333334,12,8,8,3
2025-09-20T08:23:46.2449033Z,2,12,8,8,3
2025-09-20T08:23:48.2389113Z,2.066666666666667,13,8,8,3
2025-09-20T08:23:50.2368311Z,1.9666666666666666,11,8,8,4
2025-09-20T08:23:52.2472153Z,2.0166666666666666,13,8,8,3
2025-09-20T08:23:54.2498651Z,2.0166666666666666,12,8,8,3
2025-09-20T08:23:56.2615087Z,2.05,12,8,8,4
2025-09-20T08:23:58.2399848Z,2,12,8,8,3
2025-09-20T08:24:00.2498564Z,2.0166666666666666,12,8,8,3
2025-09-20T08:24:02.2463583Z,2.0166666666666666,12,8,8,3
2025-09-20T08:24:04.2541017Z,2,12,8,8,4
2025-09-20T08:24:06.2496481Z,1.9666666666666666,12,8,8,3
2025-09-20T08:24:08.2586972Z,2,12,8,8,3
2025-09-20T08:24:10.2519169Z,1.9833333333333334,12,8,8,3
2025-09-20T08:24:12.2398656Z,2.0166666666666666,12,8,8,3
2025-09-20T08:24:14.2489233Z,2.0166666666666666,12,8,8,4
2025-09-20T08:24:16.2471629Z,2.0166666666666666,12,8,8,3
2025-09-20T08:24:18.2555521Z,2.0166666666666666,12,8,8,3
2025-09-20T08:24:20.2462846Z,2.066666666666667,13,9,9,4
2025-09-20T08:24:22.2448513Z,2.033333333333333,12,8,8,3
2025-09-20T08:24:24.2397163Z,1.9833333333333334,12,8,8,3
2025-09-20T08:24:26.2467108Z,2.033333333333333,12,8,8,3
2025-09-20T08:24:28.2572025Z,2.0166666666666666,12,8,8,4
2025-09-20T08:24:30.2444985Z,1.9833333333333334,12,8,8,3
2025-09-20T08:24:32.2476195Z,2.066666666666667,12,8,8,3
2025-09-20T08:24:34.2570189Z,2,12,8,8,4
2025-09-20T08:24:36.2495423Z,1.9666666666666666,12,8,8,3
2025-09-20T08:24:38.2575375Z,2.05,12,8,8,3
2025-09-20T08:24:40.2453041Z,1.9833333333333334,12,8,8,3
2025-09-20T08:24:42.2422419Z,2.05,13,8,8,4
2025-09-20T08:24:44.2495864Z,2.033333333333333,12,8,8,3
2025-09-20T08:24:46.2616404Z,1.9666666666666666,12,8,8,3
2025-09-20T08:24:48.2387548Z,1.95,11,8,8,3
2025-09-20T08:24:50.2482513Z,1.9666666666666666,12,8,8,3
2025-09-20T08:24:52.2546693Z,2.05,12,8,8,4
2025-09-20T08:24:54.2500428Z,2,12,8,8,3
2025-09-20T08:24:56.2587515Z,2.05,13,8,8,3
2025-09-20T08:24:58.2510732Z,1.9833333333333334,12,8,8,4
2025-09-20T08:25:00.2482836Z,2,12,8,8,3
2025-09-20T08:25:02.2605116Z,2.0166666666666666,12,8,8,3
2025-09-20T08:25:04.2385492Z,1.9666666666666666,12,8,8,3
2025-09-20T08:25:06.2468287Z,2,12,8,8,3
2025-09-20T08:25:08.2566483Z,2.05,12,8,8,4
2025-09-20T08:25:10.2487043Z,2,12,8,8,3
2025-09-20T08:25:12.2580966Z,2.0166666666666666,12,8,8,3
2025-09-20T08:25:14.2466103Z,1.95,12,8,8,3
2025-09-20T08:25:16.2572612Z,2.033333333333333,12,8,8,4
2025-09-20T08:25:18.2520121Z,2.0166666666666666,12,8,8,3
2025-09-20T08:25:20.2435174Z,2,12,8,8,3
2025-09-20T08:25:22.2471255Z,2.05,12,9,9,4
2025-09-20T08:25:24.2538652Z,2.0166666666666666,12,8,8,3
2025-09-20T08:25:26.2470234Z,2,12,8,8,3
2025-09-20T08:25:28.2559974Z,2.0166666666666666,12,8,8,3
2025-09-20T08:25:30.2496767Z,2,12,8,8,4
2025-09-20T08:25:32.2509653Z,2.0166666666666666,13,8,8,3
2025-09-20T08:25:34.2612714Z,2,12,8,8,3
2025-09-20T08:25:36.2516872Z,1.9833333333333334,11,8,8,3
2025-09-20T08:25:38.2459466Z,2,12,8,8,4
2025-09-20T08:25:40.2516880Z,2.05,13,8,8,3
2025-09-20T08:25:42.2492322Z,1.9833333333333334,12,8,8,3
2025-09-20T08:25:44.2584213Z,1.9666666666666666,11,8,8,3
2025-09-20T08:25:46.2368150Z,1.95,12,8,8,4
2025-09-20T08:25:48.2428109Z,2.033333333333333,12,8,8,3
